title,type,release_year,genres,imdb_score,tmdb_score
Mission: Impossible,MOVIE,1996,"['thriller', 'action']",7.1,6.9
Se7en,MOVIE,1995,"['crime', 'thriller', 'drama']",8.6,8.352
Boogie Nights,MOVIE,1997,['drama'],7.9,7.6
Forrest Gump,MOVIE,1994,"['drama', 'romance']",8.8,8.478
Snatch,MOVIE,2000,"['crime', 'comedy']",8.3,7.8
The Talented Mr. Ripley,MOVIE,1999,"['thriller', 'drama', 'crime']",7.4,7.2
Titanic,MOVIE,1997,"['drama', 'romance']",7.9,7.878
Starship Troopers,MOVIE,1997,"['scifi', 'action', 'thriller']",7.3,6.993
Mission: Impossible II,MOVIE,2000,"['thriller', 'action']",6.1,6.1
Dumb and Dumber,MOVIE,1994,['comedy'],7.3,6.6
Gattaca,MOVIE,1997,"['scifi', 'thriller', 'romance', 'drama']",7.8,7.553
Léon: The Professional,MOVIE,1994,"['crime', 'drama', 'action', 'thriller', 'european']",8.5,8.323
Natural Born Killers,MOVIE,1994,"['thriller', 'drama', 'crime', 'action']",7.3,7.1
The Quick and the Dead,MOVIE,1995,"['action', 'thriller', 'western', 'romance']",6.5,6.5
You've Got Mail,MOVIE,1998,"['comedy', 'romance', 'drama']",6.7,6.643
Big Daddy,MOVIE,1999,"['drama', 'comedy', 'european']",6.4,6.45
Vampires,MOVIE,1998,"['fantasy', 'action', 'horror', 'thriller']",6.1,6.3
Donnie Brasco,MOVIE,1997,"['drama', 'thriller', 'crime']",7.7,7.5
A River Runs Through It,MOVIE,1992,['drama'],7.2,7.1
"Girl, Interrupted",MOVIE,1999,"['drama', 'european']",7.3,7.6
Last Action Hero,MOVIE,1993,"['action', 'fantasy', 'comedy', 'family']",6.4,6.379
